10023_at_aerobic	1	9.8	4.4	13.1	0.8	0.9	0.7	2.1	1	0.5	0.5	1.1	0.9
10023_at_anaerobic	2	12.8	4.1	5.7	1.1	0.9	0.8	35	12.5	21	2	4.2	0.7
10024_at_aerobic	1	106	79.5	80.4	151.6	154.3	143.6	146.2	113.3	96.8	117.3	141.2	150.3
10024_at_anaerobic	2	75.9	41.5	67.2	152.6	153.3	96.8	88.4	84.9	86.3	99.7	107	107.6
10025_at_aerobic	1	31.8	30.9	23	40.9	37.1	27.8	34.6	34.3	32	35	35.9	34.9
10025_at_anaerobic	2	17.3	4.1	29.8	34.6	28.9	29.6	27.4	15.9	33.2	29.2	27.7	34.2
10026_at_aerobic	1	59.2	48.5	58.7	41.6	28	28.3	24.3	22.9	17.7	31.5	35.6	33.2
10026_at_anaerobic	2	2	1.8	10	30.3	26.3	4.1	6.6	8.8	3.5	8.5	6.6	11.2
10027_at_aerobic	1	282.4	283.6	301.7	199.2	145	175.8	52.2	64.6	82.8	118.1	125.7	130.1
10027_at_anaerobic	2	51.8	14.3	15.9	118.2	67.6	57.6	29.7	26.7	39.5	24.5	47.6	40.2
10028_at_aerobic	1	50.6	63.1	41.2	74.3	55.2	47.2	54.7	101.1	89.8	66.1	61	49.4
10028_at_anaerobic	2	56.5	28.3	41.2	86.7	53.1	75.8	73	69.6	90.1	69.3	74.6	76
10029_at_aerobic	1	54.6	53	43.5	81.4	64.8	77.3	65	82.8	51.2	95.9	76.5	76.5
10029_at_anaerobic	2	50.7	17.1	52.4	55.9	45.6	39	30.1	38	35	52.3	61.4	82.3
10030_at_aerobic	1	16.5	31.5	17.7	36.7	25.8	24.9	8	47.3	77.3	34	25.2	28.7
10030_at_anaerobic	2	18.1	3.7	13	40.6	14.8	15.4	38.4	33.4	28.4	44.4	59.1	48.5
10031_at_aerobic	1	57.1	119.1	54.1	75.4	99.3	89.5	152.6	132.9	258.9	138.4	122	142.4
10031_at_anaerobic	2	72.6	29.2	65.7	107	144.6	78.6	100.9	100.7	118.4	80.7	118.5	72.7
10032_at_aerobic	1	85.6	55.9	70.3	95.7	101.9	75.1	69.5	61.1	51.9	76.2	82.2	101.5
10032_at_anaerobic	2	71.9	42.5	40.7	92.9	104.2	82.5	60.1	55.4	67.2	70.6	76.4	79.6
10033_at_aerobic	1	23.7	28	26.6	36	40.4	32.1	31.9	24.9	30	50.4	42.5	52.2
10033_at_anaerobic	2	21.4	7.4	30.7	46.1	45.8	27.1	27.5	37.7	35	35.3	40.3	42.4
10034_at_aerobic	1	173.2	176.7	141.8	114.4	190.3	142.2	222.1	210.4	163.8	144.5	150.6	158.5
10034_at_anaerobic	2	144.9	66.6	104.3	144.6	196.5	138.9	126.3	113	135.2	111.3	108.4	111.4
10035_at_aerobic	1	69.5	83	55.6	124.3	116.9	119.1	140.9	110.7	99	95.4	95.7	124.8
10035_at_anaerobic	2	65.4	26.4	55.9	133	161.8	79.8	83.2	65.6	103.9	87.2	108.4	86.1
10036_at_aerobic	1	35.4	24.8	32.3	44.6	37.1	25.1	36.4	22.2	25.2	27.8	22.5	22.7
10036_at_anaerobic	2	38.1	27	21.7	46.3	47	27.9	39.2	25.4	25.1	26.2	29	26.4
10037_at_aerobic	1	23	19.7	27.2	24.9	21	20.2	12.2	15	18.6	29.7	28	22.8
