KP=KP00106-489	1	2.7541	2.7879	2.4919	2.3483	2.5869	2.4385	2.4829	2.7358	2.9482	2.4536	2.4331	2.3597	2.2359	1.9072	2.3280	1.8552	2.3257	1.5420	1.7408	1.5086	1.4615	1.9935	1.8822	1.4344	0.9864	1.1892	1.1909	1.3020
KP=KP00110-314	2	-1.4901	-0.9537	-1.3548	-1.4239	-0.8765	-1.1834	-1.0731	-0.9490	-1.3921	-1.0419	-1.0529	-1.0580	-0.8539	-0.7084	-0.7466	0.5099	1.3870	0.6031	0.8002	0.6477	-0.3758	-0.6604	-0.3814	-0.9706	-1.3884	-0.9621	-0.7909	-1.5092
KP=KP00112-750	3	-0.9752	-0.8828	-0.4526	-0.4753	-0.5606	-0.5228	-0.0524	-0.2828	-0.8696	-0.3897	-0.3997	-0.0533	-0.1774	-0.0208	-0.4241	0.4545	0.4768	0.1164	0.4407	0.6406	0.1026	0.2881	0.7335	0.0552	0.3388	1.0640	0.4615	0.1657
KP=KP00113-730	3	-0.4144	-0.1350	-0.2758	-0.3916	-0.4409	-0.2987	-0.1365	-0.1763	-0.4634	-0.3865	-0.3359	-0.4112	-0.2114	-0.2837	-0.5326	-0.2026	0.6477	0.1150	-0.1156	0.0436	0.1454	0.4005	0.2228	0.8982	0.2995	0.3788	0.3107	0.0445
KP=KP00116-439	2	-1.2816	-1.0020	-0.8001	-0.3739	-0.5901	-0.1697	-0.1596	-0.3388	-0.7735	-0.5613	-0.3516	-0.4164	-0.2374	-0.1714	-0.1234	0.8303	1.4202	0.7314	0.6796	0.6385	0.4847	0.0899	-0.3965	-0.1784	-0.4526	-0.3653	-0.4060	-0.4982
KP=KP00119-381	1	1.8001	0.4662	0.4865	-0.0489	-0.3117	0.1827	0.5069	0.6123	1.3038	0.8526	0.9784	0.6255	0.5113	0.4555	0.8836	1.0870	0.1427	-0.1302	-0.2171	0.2083	-0.3297	-0.3425	-0.2181	-0.6834	-0.7020	-0.3401	-0.5297	-0.4448
KP=KP00136-750	2	0.2050	-0.5944	-0.1807	0.1613	-0.1926	0.0360	0.5187	0.7051	1.4292	0.9976	1.3752	1.0330	1.0153	1.5945	1.8236	2.3248	2.0898	1.5893	0.9791	1.7603	0.8057	0.8002	1.3279	0.6285	0.2465	0.3704	0.1635	-0.0454
KP=KP00138-582	1	1.7229	2.0979	1.4528	1.4262	1.3535	1.1838	1.0131	1.1749	1.6074	1.0524	1.1833	1.0337	1.1656	1.1122	1.5370	0.8642	0.5082	0.4950	0.2311	0.2166	0.7283	0.1763	0.4114	0.3833	0.2833	0.3550	0.4439	0.3331
KP=KP00139-750	1	1.0283	0.8262	0.6427	0.4052	-0.0831	0.1349	0.0482	0.0389	-0.1816	-0.0019	-0.3516	-0.1767	-0.4022	-0.4941	-0.4195	-0.2272	0.1793	-0.3017	-0.3561	-0.5936	-0.3690	-0.6259	-0.3395	-1.0291	-0.4935	-0.6098	-0.5437	-0.5458
KP=KP00141-750	3	0.3414	-0.1255	0.0631	-0.0634	-0.2498	-0.1114	-0.0950	-0.0390	-0.3590	0.1801	0.1878	0.4758	0.4940	0.5840	1.0781	0.6862	1.3945	1.3837	1.8645	1.1406	1.6908	2.1780	2.1373	1.8805	1.9952	1.6508	1.7248	1.7832
KP=KP00148-496	3	-1.7875	-1.2909	-1.3292	-1.2515	-1.1756	-0.8818	-0.8591	-0.4941	-0.6666	-0.8186	-0.6666	-0.6866	-0.6636	-0.6076	-0.5326	-0.6394	-0.5806	-0.7884	-0.9113	-0.6827	-0.5763	-0.3322	0.0091	0.4906	-0.0033	0.2861	0.1200	0.0338
KP=KP00149-750	3	-1.3498	-1.3339	-1.2267	-1.1402	-1.1234	-1.1131	-0.7091	-0.7784	-1.2052	-1.0020	-0.7060	0.0772	-0.3395	0.5708	0.3643	2.1026	2.6977	2.0172	1.7783	2.0737	1.6060	1.8398	1.9804	1.0136	0.2642	0.4723	0.5669	0.1683
KP=KP00154-750	3	-1.0097	-0.6076	-0.6913	-0.6282	-0.4369	-0.3498	-0.2596	-0.2435	-0.6208	-0.4099	-0.5771	-0.2964	-0.2676	-0.2735	-0.3959	-0.3201	-0.0510	-0.5016	-0.6282	-0.5664	-0.1151	0.5675	0.7011	1.1556	1.9249	2.3232	1.2277	1.6803
KP=KP00158-658	3	-1.2447	-1.0038	-0.7941	-0.5049	-0.5401	-0.3297	-0.4299	-0.3579	-0.6682	-0.4125	-0.6620	-0.2816	-0.6781	-0.6696	-0.8399	-0.2728	0.5673	-0.3739	-0.0425	0.4980	0.6145	1.1848	0.7704	0.5042	0.0048	0.0722	0.1695	0.0631
KP=KP00159-634	2	-0.4719	-0.4540	-0.2636	-0.0429	-0.3795	-0.1203	0.3973	0.0310	0.0576	-0.0510	-0.1536	-0.0160	-0.2533	0.0072	-0.7243	0.2311	0.1903	-0.0604	-0.0072	0.1725	0.1903	0.7508	1.1977	0.8718	-0.3094	-0.0087	0.0827	-0.1882
KP=KP00160-675	3	-1.2573	-0.7274	-0.6673	-0.3304	-0.1286	-0.2121	-0.2823	-0.1340	-0.5655	-0.2154	-0.5416	-0.0414	-0.4125	-0.4030	-0.5670	-0.0974	0.6044	-0.1981	-0.1665	-0.1612	0.1349	0.6810	0.6882	0.1657	0.7666	1.0433	1.1135	1.1265
KP=KP00163-750	2	-0.7784	-1.1802	-0.8802	-0.4739	-0.7966	-0.5606	-0.0781	-0.3383	-0.0160	-0.1440	-0.1334	-0.0790	-0.3076	0.0039	0.1480	0.1725	0.2070	-0.2521	-0.1424	1.0967	0.9133	1.1903	0.9901	0.5304	-0.2323	-0.0155	-0.1219	-0.0821
